listing_id,make,segment,model_year,vehicle_age,mileage,transmission,fuel_type,engine_size,province,service_history,previous_owners,accident_history,warranty_months,seller_type,colour
SA00040,BMW,Luxury,2024,2,51500,Manual,Petrol,2.6,Gauteng,Full,2,No,55,Dealership,Black
SA00150,Volkswagen,Luxury,2015,11,171000,Automatic,Hybrid,2.5,Gauteng,Full,4,No,0,Private,Silver
SA00488,Ford,SUV,2025,1,2500,Automatic,Diesel,2.1,Gauteng,Full,1,No,60,Dealership,Black
SA02163,Volkswagen,Sedan,2022,4,14000,Manual,Petrol,1.9,Gauteng,Full,1,No,26,Dealership,White
SA02173,Kia,Bakkie,2014,12,117000,Automatic,Diesel,2.5,Gauteng,Partial,4,No,0,Dealership,White
SA02243,Nissan,Hatchback,2021,5,63000,Automatic,Petrol,1.7,KwaZulu-Natal,None,2,No,11,Dealership,White
SA00148,Hyundai,Sedan,2018,8,150500,Automatic,Petrol,2.2,Western Cape,Partial,4,No,0,Dealership,Grey
SA00811,Kia,SUV,2022,4,69000,Automatic,Petrol,2.1,Eastern Cape,Partial,2,No,3,Dealership,White
SA01751,Suzuki,Luxury,2024,2,2500,Automatic,Petrol,2.3,Western Cape,None,2,No,52,Dealership,Grey
SA02250,Hyundai,SUV,2019,7,98000,Manual,Diesel,2.2,KwaZulu-Natal,Full,2,No,0,Dealership,Grey
SA01253,BMW,Luxury,2008,18,350000,Automatic,Petrol,2.5,North West,Partial,4,Yes,0,Dealership,White
SA00344,Toyota,SUV,2013,13,35000,Automatic,Diesel,2,Western Cape,Full,3,No,0,Dealership,White
SA01586,Suzuki,SUV,2021,5,47000,Manual,Diesel,2.1,KwaZulu-Natal,Full,3,No,8,Private,Grey
SA00648,Hyundai,SUV,2017,9,92500,Automatic,Diesel,2,Eastern Cape,Full,2,No,0,Dealership,Grey
SA01957,Ford,Hatchback,2020,6,144500,Manual,Petrol,1.2,Gauteng,Full,2,Yes,0,Dealership,White
SA00684,Mercedes-Benz,Luxury,2013,13,49000,Manual,Petrol,2.4,Western Cape,Full,5,No,0,Private,White
SA01150,Toyota,Bakkie,2019,7,179000,Manual,Diesel,2.5,Gauteng,Full,2,Yes,0,Dealership,White
SA00179,Suzuki,SUV,2020,6,173500,Automatic,Diesel,2.3,Western Cape,Partial,4,No,0,Private,Blue
SA00980,Toyota,Sedan,2015,11,261500,Automatic,Petrol,1.8,KwaZulu-Natal,Partial,3,No,0,Dealership,Blue
SA01029,Ford,Luxury,2011,15,91500,Automatic,Petrol,2.7,KwaZulu-Natal,Partial,3,No,0,Dealership,Blue
SA02347,Volkswagen,Bakkie,2022,4,24000,Manual,Diesel,2.6,Western Cape,Full,2,No,24,Dealership,Grey
SA00556,Ford,Bakkie,2018,8,249000,Manual,Diesel,2.8,Western Cape,Full,2,No,0,Dealership,Black
SA02008,Hyundai,Luxury,2012,14,148500,Automatic,Petrol,2.7,Free State,Full,3,No,0,Private,White
SA01496,Renault,Sedan,2023,3,60000,Manual,Petrol,1.4,Northern Cape,Full,1,No,50,Private,White
SA01992,Toyota,Luxury,2016,10,254500,Automatic,Petrol,2.9,Gauteng,Full,2,Yes,0,Dealership,Grey
SA01715,Isuzu,Bakkie,2013,13,290500,Manual,Petrol,3.2,Western Cape,Full,3,No,0,Dealership,White
SA00093,Volkswagen,Hatchback,2017,9,128500,Manual,Petrol,2,Gauteng,Full,3,No,0,Private,White
SA01971,Kia,SUV,2018,8,149000,Manual,Diesel,2.6,Western Cape,Full,3,No,0,Dealership,Black
SA00342,Hyundai,Bakkie,2022,4,56000,Manual,Diesel,2.5,Gauteng,Full,3,No,39,Dealership,White
SA00279,Renault,SUV,2020,6,31000,Automatic,Petrol,2.4,Gauteng,Partial,2,No,5,Dealership,White
SA02203,Isuzu,Sedan,2011,15,350000,Manual,Petrol,1.5,Northern Cape,Partial,4,Yes,0,Private,Black
SA01692,Renault,Bakkie,2013,13,350000,Automatic,Diesel,2.8,KwaZulu-Natal,Partial,3,No,0,Private,White
SA02026,Mercedes-Benz,Luxury,2017,9,78500,Manual,Petrol,2.8,KwaZulu-Natal,None,3,No,0,Dealership,Blue
SA02158,Renault,Bakkie,2018,8,123500,Manual,Diesel,2.1,Gauteng,Full,2,No,0,Private,Blue
SA01300,Isuzu,SUV,2010,16,335500,Automatic,Diesel,2.3,Western Cape,Full,4,No,0,Dealership,Grey
SA02384,Ford,Hatchback,2013,13,235000,Manual,Petrol,1.9,Western Cape,Full,3,No,0,Dealership,Silver
SA01917,Suzuki,Hatchback,2014,12,2500,Manual,Petrol,1.7,Free State,Full,4,No,0,Dealership,Silver
SA01062,Ford,Hatchback,2023,3,2500,Automatic,Petrol,1.8,KwaZulu-Natal,Full,2,No,38,Private,White
SA00589,Volkswagen,SUV,2015,11,348000,Automatic,Diesel,2.3,Eastern Cape,Full,3,Yes,0,Dealership,Silver
SA02301,Volkswagen,SUV,2019,7,136000,Automatic,Diesel,1.9,Eastern Cape,Full,2,No,0,Dealership,White
SA01744,Nissan,SUV,2022,4,100000,Automatic,Diesel,2.4,Gauteng,Full,1,No,29,Private,Grey
SA02325,Ford,SUV,2015,11,36000,Automatic,Petrol,2.7,KwaZulu-Natal,Full,3,No,0,Dealership,Silver
SA00860,Ford,Hatchback,2020,6,168500,Manual,Petrol,1.3,Western Cape,Full,2,Yes,0,Dealership,Silver
SA00408,Renault,Luxury,2014,12,20000,Automatic,Petrol,2.3,Gauteng,Partial,4,No,0,Dealership,Silver
SA00880,Kia,Sedan,2025,1,6000,Manual,Petrol,1.3,KwaZulu-Natal,Full,2,No,58,Private,Grey
SA01857,Ford,Bakkie,2023,3,18000,Manual,Diesel,2.3,North West,Full,1,No,25,Private,Blue
SA00267,Volkswagen,Sedan,2015,11,70500,Manual,Hybrid,1.7,Limpopo,Partial,4,No,0,Dealership,White
SA00101,Renault,SUV,2019,7,25500,Automatic,Petrol,2.5,Western Cape,Full,2,Yes,0,Private,Silver
SA00728,Nissan,Bakkie,2012,14,256500,Manual,Diesel,2.6,Western Cape,Partial,3,No,0,Dealership,Silver
SA01921,BMW,Bakkie,2021,5,207000,Manual,Diesel,3.1,Gauteng,Full,2,No,6,Dealership,Black
SA00703,Nissan,Sedan,2015,11,149500,Manual,Petrol,1.3,Eastern Cape,Full,3,No,0,Dealership,Silver
SA01905,Ford,SUV,2024,2,40500,Automatic,Diesel,2.4,Eastern Cape,None,2,No,60,Private,White
SA01413,Suzuki,Hatchback,2009,17,111500,Manual,Petrol,1.3,Western Cape,Full,4,Yes,0,Private,Other
SA02089,Volkswagen,Hatchback,2017,9,287500,Automatic,Petrol,1.5,Free State,None,3,Yes,0,Dealership,Black
SA01767,Toyota,SUV,2021,5,137000,Automatic,Diesel,2.3,Gauteng,None,2,No,4,Private,Black
SA00974,Volkswagen,Sedan,2012,14,74500,Manual,Petrol,1.7,Gauteng,Full,5,No,0,Dealership,Red
SA00013,Nissan,SUV,2020,6,109000,Automatic,Diesel,2.4,Western Cape,Full,3,No,0,Private,Silver
SA00619,Isuzu,SUV,2016,10,134500,Automatic,Diesel,2.5,Gauteng,Full,3,No,0,Dealership,Grey
SA00386,Toyota,SUV,2025,1,59000,Automatic,Petrol,1.9,Northern Cape,Full,2,No,58,Private,Other
SA00139,Nissan,Luxury,2018,8,62500,Automatic,Petrol,2.8,Gauteng,Full,3,No,0,Dealership,Grey
SA02151,Toyota,Sedan,2023,3,71000,Manual,Petrol,1.8,Western Cape,Partial,1,No,29,Dealership,Blue
SA00184,Volkswagen,Sedan,2021,5,138500,Manual,Petrol,1.6,Gauteng,Partial,2,No,14,Dealership,Grey
SA02010,Volkswagen,Hatchback,2024,2,47500,Manual,Petrol,1.2,Free State,Full,2,No,53,Private,Grey
SA02156,Toyota,SUV,2017,9,194500,Automatic,Petrol,2.9,KwaZulu-Natal,Full,3,No,0,Private,White
SA02310,Volkswagen,Hatchback,2008,18,350000,Manual,Petrol,1.4,KwaZulu-Natal,Partial,4,Yes,0,Dealership,Grey
SA02114,Isuzu,Sedan,2023,3,38500,Manual,Petrol,1.5,Western Cape,Partial,2,No,39,Private,Grey
SA02146,Hyundai,Luxury,2018,8,184000,Manual,Petrol,2.9,Mpumalanga,Partial,2,Yes,0,Private,White
SA00637,Volkswagen,Sedan,2017,9,156500,Manual,Petrol,1.5,KwaZulu-Natal,None,3,No,0,Private,White
SA01847,Renault,SUV,2022,4,88000,Manual,Diesel,2,Gauteng,Full,2,No,15,Dealership,Silver
SA00258,Nissan,Bakkie,2018,8,186500,Automatic,Diesel,2.8,North West,Full,3,No,0,Dealership,Black
SA02186,Hyundai,SUV,2015,11,60500,Automatic,Petrol,2.4,Western Cape,Full,3,No,0,Dealership,Other
SA01522,Toyota,Hatchback,2010,16,88000,Manual,Diesel,0.9,Gauteng,Partial,4,No,0,Dealership,Silver
